                                                                                                             14 May 2023 19:43:56
Civil Air Patrol Use Only
Satellite-CircularSat:  LLA Position


       Time (UTCG)          Lat (deg)    Lon (deg)     Alt (km)     Lat Rate (deg/sec)    Lon Rate (deg/sec)    Alt Rate (km/sec)
------------------------    ---------    ---------    ----------    ------------------    ------------------    -----------------
12 May 2023 04:00:00.000        0.000       10.327    500.000000              0.048158              0.037425            -0.000000
12 May 2023 04:01:00.000        2.891       12.574    500.053988              0.048111              0.037530             0.001795
12 May 2023 04:02:00.000        5.777       14.833    500.214991              0.047968              0.037846             0.003558
12 May 2023 04:03:00.000        8.651       17.118    500.480146              0.047727              0.038376             0.005258
12 May 2023 04:04:00.000       11.508       19.441    500.844740              0.047384              0.039129             0.006865
12 May 2023 04:05:00.000       14.341       21.816    501.302292              0.046933              0.040111             0.008349
12 May 2023 04:06:00.000       17.143       24.257    501.844676              0.046367              0.041335             0.009685
12 May 2023 04:07:00.000       19.908       26.780    502.462264              0.045675              0.042814             0.010850
12 May 2023 04:08:00.000       22.627       29.399    503.144101              0.044845              0.044564             0.011822
12 May 2023 04:09:00.000       25.292       32.132    503.878104              0.043863              0.046600             0.012584
12 May 2023 04:10:00.000       27.893       34.996    504.651274              0.042712              0.048937             0.013124
12 May 2023 04:11:00.000       30.419       38.010    505.449935              0.041371              0.051590             0.013432
12 May 2023 04:12:00.000       32.858       41.193    506.259973              0.039818              0.054566             0.013502
12 May 2023 04:13:00.000       35.197       44.565    507.067086              0.038028              0.057867             0.013335
12 May 2023 04:14:00.000       37.421       48.144    507.857040              0.035972              0.061480             0.012932
12 May 2023 04:15:00.000       39.512       51.949    508.615918              0.033624              0.065371             0.012301
12 May 2023 04:16:00.000       41.453       55.995    509.330361              0.030957              0.069481             0.011454
12 May 2023 04:17:00.000       43.224       60.291    509.987807              0.027949              0.073720             0.010406
12 May 2023 04:18:00.000       44.803       64.843    510.576705              0.024585              0.077954             0.009175
12 May 2023 04:19:00.000       46.170       69.645    511.086716              0.020864              0.082012             0.007783
12 May 2023 04:20:00.000       47.303       74.681    511.508892              0.016802              0.085689             0.006255
12 May 2023 04:21:00.000       48.182       79.920    511.835832              0.012435              0.088759             0.004616
12 May 2023 04:22:00.000       48.791       85.319    512.061806              0.007823              0.091007             0.002897
12 May 2023 04:23:00.000       49.119       90.825    512.182855              0.003049              0.092257             0.001128
12 May 2023 04:24:00.000       49.156       96.373    512.196859             -0.001790              0.092404            -0.000662
12 May 2023 04:25:00.000       48.904      101.896    512.103573             -0.006591              0.091435            -0.002440
12 May 2023 04:26:00.000       48.367      107.329    511.904631             -0.011254              0.089432            -0.004175
12 May 2023 04:27:00.000       47.557      112.614    511.603517             -0.015691              0.086556            -0.005837
12 May 2023 04:28:00.000       46.488      117.706    511.205508             -0.019838              0.083016            -0.007397
12 May 2023 04:29:00.000       45.181      122.571    510.717582             -0.023650              0.079036            -0.008827
12 May 2023 04:30:00.000       43.655      127.189    510.148296             -0.027107              0.074830            -0.010102
12 May 2023 04:31:00.000       41.932      131.552    509.507644             -0.030207              0.070578            -0.011200
12 May 2023 04:32:00.000       40.033      135.663    508.806879             -0.032961              0.066424            -0.012101
12 May 2023 04:33:00.000       37.979      139.529    508.058321             -0.035390              0.062468            -0.012789
12 May 2023 04:34:00.000       35.788      143.165    507.275142             -0.037519              0.058780            -0.013252
12 May 2023 04:35:00.000       33.478      146.589    506.471137             -0.039376              0.055396            -0.013482
12 May 2023 04:36:00.000       31.063      149.819    505.660482             -0.040988              0.052334            -0.013473
12 May 2023 04:37:00.000       28.559      152.876    504.857485             -0.042382              0.049597            -0.013227
12 May 2023 04:38:00.000       25.976      155.777    504.076332             -0.043580              0.047179            -0.012747
12 May 2023 04:39:00.000       23.327      158.542    503.330840             -0.044605              0.045066            -0.012041
12 May 2023 04:40:00.000       20.621      161.190    502.634206             -0.045472              0.043243            -0.011122
12 May 2023 04:41:00.000       17.868      163.736    501.998772             -0.046199              0.041695            -0.010006
12 May 2023 04:42:00.000       15.074      166.197    501.435809             -0.046797              0.040406            -0.008713
12 May 2023 04:43:00.000       12.249      168.588    500.955306             -0.047277              0.039362            -0.007264
12 May 2023 04:44:00.000        9.398      170.923    500.565798             -0.047648              0.038551            -0.005687
12 May 2023 04:45:00.000        6.527      173.217    500.274206             -0.047915              0.037963            -0.004009
12 May 2023 04:46:00.000        3.644      175.481    500.085712             -0.048083              0.037592            -0.002259
12 May 2023 04:47:00.000        0.754      177.730    500.003670             -0.048155              0.037432            -0.000469
12 May 2023 04:48:00.000       -2.138      179.975    500.029539             -0.048132              0.037483             0.001329
12 May 2023 04:49:00.000       -5.026     -177.770    500.162857             -0.048014              0.037743             0.003104
12 May 2023 04:50:00.000       -7.904     -175.493    500.401255             -0.047799              0.038217             0.004823
12 May 2023 04:51:00.000      -10.766     -173.181    500.740493             -0.047483              0.038911             0.006457
12 May 2023 04:52:00.000      -13.606     -170.821    501.174543             -0.047061              0.039832             0.007976
12 May 2023 04:53:00.000      -16.417     -168.398    501.695692             -0.046526              0.040992             0.009353
12 May 2023 04:54:00.000      -19.192     -165.898    502.294690             -0.045868              0.042403             0.010564
12 May 2023 04:55:00.000      -21.924     -163.306    502.960908             -0.045075              0.044081             0.011588
12 May 2023 04:56:00.000      -24.603     -160.604    503.682538             -0.044135              0.046041             0.012407
12 May 2023 04:57:00.000      -27.222     -157.776    504.446797             -0.043029              0.048298             0.013006
12 May 2023 04:58:00.000      -29.768     -154.803    505.240163             -0.041740              0.050868             0.013374
12 May 2023 04:59:00.000      -32.232     -151.666    506.048610             -0.040245              0.053759             0.013507
12 May 2023 05:00:00.000      -34.598     -148.345    506.857864             -0.038518              0.056976             0.013401
12 May 2023 05:01:00.000      -36.853     -144.822    507.653647             -0.036535              0.060510             0.013059
12 May 2023 05:02:00.000      -38.981     -141.077    508.421936             -0.034266              0.064333             0.012487
12 May 2023 05:03:00.000      -40.963     -137.096    509.149203             -0.031684              0.068394             0.011695
